GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
0500000US01001,01001,"Autauga County, Alabama",54571,54571,54750,55199,54927,54695,54864,54838,55278,55504
0500000US01003,01003,"Baldwin County, Alabama",182265,182265,183110,186534,190048,194736,199064,202863,207509,212628
0500000US01005,01005,"Barbour County, Alabama",27457,27457,27332,27351,27175,26947,26749,26264,25774,25270
0500000US01007,01007,"Bibb County, Alabama",22915,22919,22872,22745,22658,22503,22533,22561,22633,22668
0500000US01009,01009,"Blount County, Alabama",57322,57324,57381,57562,57595,57623,57546,57590,57562,58013
0500000US01011,01011,"Bullock County, Alabama",10914,10911,10880,10675,10612,10549,10673,10419,10441,10309
0500000US01013,01013,"Butler County, Alabama",20947,20946,20944,20880,20688,20372,20327,20141,19965,19825
0500000US01015,01015,"Calhoun County, Alabama",118572,118586,118466,117785,117219,116482,115941,115505,114980,114728
0500000US01017,01017,"Chambers County, Alabama",34215,34170,34122,34031,34092,34122,33948,33968,33717,33713
0500000US01019,01019,"Cherokee County, Alabama",25989,25988,25973,25993,25958,26014,25897,25741,25766,25857
0500000US01021,01021,"Chilton County, Alabama",43643,43631,43661,43688,43601,43645,43779,43706,43830,44067
0500000US01023,01023,"Choctaw County, Alabama",13859,13858,13849,13607,13561,13396,13318,13231,13050,12945
0500000US01025,01025,"Clarke County, Alabama",25833,25833,25765,25582,25152,25118,24865,24708,24350,24083
0500000US01027,01027,"Clay County, Alabama",13932,13932,13900,13688,13434,13406,13440,13414,13410,13367
0500000US01029,01029,"Cleburne County, Alabama",14972,14972,15004,14928,14889,14976,15026,14922,14873,14900
0500000US01031,01031,"Coffee County, Alabama",49948,49948,50203,50434,51113,50647,50652,50974,51217,51874
0500000US01033,01033,"Colbert County, Alabama",54428,54428,54525,54534,54569,54528,54461,54358,54327,54500
0500000US01035,01035,"Conecuh County, Alabama",13228,13228,13229,13187,13041,12908,12677,12678,12515,12469
0500000US01037,01037,"Coosa County, Alabama",11539,11758,11782,11484,11347,11253,11034,10923,10809,10754
0500000US01039,01039,"Covington County, Alabama",37765,37765,37811,38017,37803,37811,37755,37550,37386,37092
0500000US01041,01041,"Crenshaw County, Alabama",13906,13900,13875,13898,13916,13847,13852,13851,13907,13871
0500000US01043,01043,"Cullman County, Alabama",80406,80410,80466,80411,80275,80674,81041,81721,82322,82755
0500000US01045,01045,"Dale County, Alabama",50251,50247,50392,50107,50287,49759,49409,49344,49228,49226
0500000US01047,01047,"Dallas County, Alabama",43820,43820,43863,43256,42795,41981,41559,40939,40081,39215
0500000US01049,01049,"DeKalb County, Alabama",71109,71115,71169,71353,70944,70905,71034,71198,71216,71617
0500000US01051,01051,"Elmore County, Alabama",79303,79296,79581,80006,80220,80555,80562,80912,81240,81677
0500000US01053,01053,"Escambia County, Alabama",38319,38319,38346,38202,38028,37773,37740,37667,37476,37447
0500000US01055,01055,"Etowah County, Alabama",104430,104427,104457,104354,104257,103865,103374,102942,102726,102755
0500000US01057,01057,"Fayette County, Alabama",17241,17236,17231,17050,16944,16823,16768,16688,16538,16468
0500000US01059,01059,"Franklin County, Alabama",31704,31709,31749,31767,31658,31504,31494,31467,31577,31495
0500000US01061,01061,"Geneva County, Alabama",26790,26788,26783,26760,26928,26684,26598,26639,26516,26421
0500000US01063,01063,"Greene County, Alabama",9045,9045,8997,8907,8852,8752,8587,8510,8488,8330
0500000US01065,01065,"Hale County, Alabama",15760,15762,15745,15358,15360,15248,15048,15018,14847,14812
0500000US01067,01067,"Henry County, Alabama",17302,17300,17297,17376,17157,17130,17080,17102,17092,17147
0500000US01069,01069,"Houston County, Alabama",101547,101555,101790,102468,103362,103625,104148,104249,104173,104346
0500000US01071,01071,"Jackson County, Alabama",53227,53226,53184,53212,53054,52923,52541,52207,52049,51909
0500000US01073,01073,"Jefferson County, Alabama",658466,658352,658048,657789,657668,658727,659544,660087,659747,659197
0500000US01075,01075,"Lamar County, Alabama",14564,14564,14494,14287,14245,14210,14070,13931,13949,13946
0500000US01077,01077,"Lauderdale County, Alabama",92709,92709,92735,92603,92652,92688,92983,92422,92319,92538
0500000US01079,01079,"Lawrence County, Alabama",34339,34339,34343,34047,33805,33575,33448,33137,33232,33049
0500000US01081,01081,"Lee County, Alabama",140247,140296,140806,144117,148318,151445,154211,156740,158983,161604
0500000US01083,01083,"Limestone County, Alabama",82782,82782,83177,85530,87322,88902,90616,91633,92920,94402
0500000US01085,01085,"Lowndes County, Alabama",11299,11289,11282,11130,10846,10658,10489,10345,10241,10076
0500000US01087,01087,"Macon County, Alabama",21452,21448,21506,21284,20603,20021,19640,19304,19072,18755
0500000US01089,01089,"Madison County, Alabama",334811,334811,336102,339519,342554,346373,349596,352740,356312,361046
0500000US01091,01091,"Marengo County, Alabama",21027,21036,20944,20649,20360,20105,19975,19757,19505,19375
0500000US01093,01093,"Marion County, Alabama",30776,30776,30816,30650,30480,30220,30200,30116,29922,29833
0500000US01095,01095,"Marshall County, Alabama",93019,93019,93129,93890,94217,94291,94232,94577,95043,95548
0500000US01097,01097,"Mobile County, Alabama",412992,413143,413320,413232,413737,413929,414314,414588,414852,413955
0500000US01099,01099,"Monroe County, Alabama",23068,23070,23010,22800,22587,22176,21931,21720,21572,21327
0500000US01101,01101,"Montgomery County, Alabama",229363,229385,229515,229162,228702,227927,227307,227002,226716,226646
0500000US01103,01103,"Morgan County, Alabama",119490,119486,119606,120007,120075,119539,119408,119199,118819,118818
0500000US01105,01105,"Perry County, Alabama",10591,10579,10567,10472,10184,10019,9819,9653,9570,9339
0500000US01107,01107,"Pickens County, Alabama",19746,19746,19749,19354,19313,19302,20282,20776,20315,20176
0500000US01109,01109,"Pike County, Alabama",32899,32899,32967,32967,33093,33563,33016,33372,33215,33267
0500000US01111,01111,"Randolph County, Alabama",22913,22914,22935,22740,22532,22546,22350,22588,22498,22670
0500000US01113,01113,"Russell County, Alabama",52947,52951,53309,54833,57478,59123,59207,58847,58177,57045
0500000US01115,01115,"St. Clair County, Alabama",83593,83593,83814,84211,84975,86029,86219,86758,87482,88199
0500000US01117,01117,"Shelby County, Alabama",195085,195214,196017,197885,200828,203897,206152,208877,211073,213605
0500000US01119,01119,"Sumter County, Alabama",13763,13763,13730,13491,13428,13376,13253,13174,12932,12687
0500000US01121,01121,"Talladega County, Alabama",82291,82291,82107,81792,82072,81497,81445,81047,80386,80065
0500000US01123,01123,"Tallapoosa County, Alabama",41616,41618,41477,41394,41040,41021,40886,40617,40574,40681
0500000US01125,01125,"Tuscaloosa County, Alabama",194656,194662,194993,196699,198597,200752,202803,204473,206282,207811
0500000US01127,01127,"Walker County, Alabama",67023,67023,66998,66577,66084,65749,65326,64939,64561,64058
0500000US01129,01129,"Washington County, Alabama",17581,17583,17629,17355,17140,16888,16851,16812,16646,16531
0500000US01131,01131,"Wilcox County, Alabama",11670,11665,11562,11440,11306,11150,10951,10901,10875,10719
0500000US01133,01133,"Winston County, Alabama",24484,24484,24408,24354,24186,24183,24129,23918,23887,23722
