state,statfip,county,county_name
AL,1,1,Autauga County
AL,1,3,Baldwin County
AL,1,5,Barbour County
AL,1,7,Bibb County
AL,1,9,Blount County
AL,1,11,Bullock County
AL,1,13,Butler County
AL,1,15,Calhoun County
AL,1,17,Chambers County
AL,1,19,Cherokee County
AL,1,21,Chilton County
AL,1,23,Choctaw County
AL,1,25,Clarke County
AL,1,27,Clay County
AL,1,29,Cleburne County
AL,1,31,Coffee County
AL,1,33,Colbert County
AL,1,35,Conecuh County
AL,1,37,Coosa County
AL,1,39,Covington County
AL,1,41,Crenshaw County
AL,1,43,Cullman County
AL,1,45,Dale County
AL,1,47,Dallas County
AL,1,49,DeKalb County
AL,1,51,Elmore County
AL,1,53,Escambia County
AL,1,55,Etowah County
AL,1,57,Fayette County
AL,1,59,Franklin County
AL,1,61,Geneva County
AL,1,63,Greene County
AL,1,65,Hale County
AL,1,67,Henry County
AL,1,69,Houston County
AL,1,71,Jackson County
AL,1,73,Jefferson County
AL,1,75,Lamar County
AL,1,77,Lauderdale County
AL,1,79,Lawrence County
AL,1,81,Lee County
AL,1,83,Limestone County
AL,1,85,Lowndes County
AL,1,87,Macon County
AL,1,89,Madison County
AL,1,91,Marengo County
AL,1,93,Marion County
AL,1,95,Marshall County
AL,1,97,Mobile County
AL,1,99,Monroe County
AL,1,101,Montgomery County
AL,1,103,Morgan County
AL,1,105,Perry County
AL,1,107,Pickens County
AL,1,109,Pike County
AL,1,111,Randolph County
AL,1,113,Russell County
AL,1,115,St. Clair County
AL,1,117,Shelby County
AL,1,119,Sumter County
AL,1,121,Talladega County
AL,1,123,Tallapoosa County
AL,1,125,Tuscaloosa County
AL,1,127,Walker County
AL,1,129,Washington County
AL,1,131,Wilcox County
AL,1,133,Winston County
